procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129315792  45364 312244    0    0     0   728 3735 11778  0  0 96  3  0
 0  1      0 129315600  45604 312452    0    0     0   752 3676 12165  0  0 96  3  0
 0  1      0 129315512  45812 312560    0    0     0   676 3778 11613  0  0 97  3  0
 0  1      0 129315688  46020 312768    0    0     0   680 3569 11519  0  0 97  3  0
 0  1      0 129315560  46228 312948    0    0     0   724 3645 11452  0  0 96  3  0
 2  1      0 129315264  46452 313052    0    0     0   752 3734 11977  0  0 96  3  0
 0  1      0 129314048  46684 313376    0    0     0   720 3751 12244  0  0 96  3  0
 0  1      0 129313800  46892 313480    0    0     0   620 3572 10812  0  0 97  3  0
 0  1      0 129312776  47116 313636    0    0     0   720 3714 11347  0  0 97  3  0
 0  1      0 129311904  47352 313840    0    0     0   772 3874 12237  0  0 96  3  0
 0  1      0 129312544  47560 314028    0    0     0   704 3807 11628  0  0 97  3  0
 0  1      0 129312336  47768 313832    0    0     0   624 3689 10974  0  0 97  3  0
 0  1      0 129311912  48008 314072    0    0     0   740 3826 12372  0  0 97  3  0
 0  1      0 129311232  48232 314248    0    0     0   716 3662 11552  0  0 96  3  0
 0  1      0 129311104  48448 314652    0    0     0   712 3770 11785  0  0 97  3  0
 0  1      0 129309704  48656 314816    0    0     0   620 3485 11261  0  0 97  3  0
 0  1      0 129308032  48888 314864    0    0     0   688 3876 11647  0  0 96  3  0
 0  1      0 129308272  49128 315308    0    0     0   780 3683 12386  0  0 96  3  0
 0  1      0 129308192  49352 315432    0    0     0   752 3833 12416  0  0 96  3  0
 0  1      0 129306608  49536 315604    0    0     0  1660 3547 10062  0  0 97  3  0
 0  1      0 129306576  49752 315788    0    0     0   760 3814 12522  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129306608  49992 315988    0    0     0   748 3701 12341  0  0 96  3  0
 0  1      0 129306112  50232 315876    0    0     0   728 3889 11602  0  0 97  3  0
 0  1      0 129304176  50400 316276    0    0     0  2696 3807 10267  0  0 97  3  0
 0  1      0 129303400  50640 316464    0    0     0   756 3967 11872  0  0 96  3  0
 0  1      0 129303088  50872 316704    0    0     0   704 3791 11262  0  0 97  3  0
 0  1      0 129301680  51104 316644    0    0     0   724 3929 11569  0  0 97  3  0
 0  2      0 129300944  51328 317020    0    0     0   712 3602 11278  1  0 96  3  0
 0  2      0 129300728  51520 317136    0    0     0   596 3528 10562  0  0 97  3  0
 0  1      0 129300304  51728 317048    0    0     0  2772 3675 11154  0  0 97  3  0
 0  1      0 129299072  51960 317364    0    0     0   704 3924 12274  0  0 96  3  0
 0  1      0 129298144  52160 317564    0    0     0   636 3652 11416  0  0 96  3  0
 0  1      0 129297800  52368 317692    0    0     0   620 3599 10652  0  0 97  3  0
 0  1      0 129297584  52600 317868    0    0     0   832 3959 13185  0  0 96  3  0
 0  1      0 129296752  52824 318264    0    0     0   708 3781 12371  0  0 96  3  0
 0  1      0 129297360  53032 318376    0    0     0   764 3609 10844  0  0 96  3  0
 2  1      0 129296976  53240 318576    0    0     0   620 3601 11284  0  0 96  3  0
 0  1      0 129297024  53472 318356    0    0     0   696 3748 11852  0  0 97  3  0
 0  1      0 129296624  53712 318728    0    0     0   732 3822 11999  0  0 97  3  0
 0  2      0 129296368  53952 318840    0    0     0   744 3661 11638  0  0 97  3  0
 0  1      0 129295760  54152 318940    0    0     0   596 3711 11271  0  0 96  3  0
 0  1      0 129295872  54384 318952    0    0     0   792 3703 11822  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129295120  54616 319320    0    0     0   744 3770 12500  0  0 97  3  0
 0  1      0 129294728  54848 319428    0    0     0   704 3705 12265  0  0 97  3  0
 0  1      0 129294448  55048 319636    0    0     0   636 3580 10753  0  0 97  3  0
 0  2      0 129295040  55288 319704    0    0     0   784 3659 12330  0  0 96  3  0
 0  1      0 129295152  55520 319852    0    0     0   720 3822 12327  0  0 96  3  0
 0  2      0 129294912  55752 319796    0    0     0   740 3847 11808  0  0 96  3  0
