procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129306576   9928 292560    0    0     0     0 21125 1434686 32 13 55  0  0
19  0      0 129306608   9928 292536    0    0     0     0 22502 1448218 32 14 54  0  0
19  0      0 129306528   9936 292520    0    0     0    12 25974 1468496 32 13 54  0  0
17  0      0 129305872   9936 292580    0    0     0    16 11436 1446865 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 129305800   9936 292564    0    0     0     0 10592 1456108 32 13 55  0  0
20  0      0 129305448   9936 292576    0    0     0     0 9873 1461406 33 12 55  0  0
19  0      0 129305968   9936 292560    0    0     0     0 10433 1442262 33 13 54  0  0
18  0      0 129306504   9944 292540    0    0     0    24 44505 1426496 33 13 54  0  0
18  0      0 129306608   9944 292564    0    0     0     0 47147 1451663 33 13 55  0  0
19  0      0 129306528   9948 292520    0    0     4    16 10309 1443055 33 13 55  0  0
18  0      0 129306960   9948 292512    0    0     0     0 10745 1439956 33 13 55  0  0
18  0      0 129306368   9948 292500    0    0     0     0 10403 1453111 33 12 55  0  0
19  0      0 129306744   9956 292500    0    0     0    32 11159 1477469 33 13 55  0  0
17  0      0 129306744   9956 292500    0    0     0     0 12235 1457409 33 12 55  0  0
19  0      0 129307392   9956 292500    0    0     0    32 11408 1460434 33 13 55  0  0
18  0      0 129307392   9956 292376    0    0     0     0 11485 1455173 33 12 54  0  0
18  0      0 129307632   9956 292400    0    0     0     0 11223 1445038 32 13 55  0  0
19  0      0 129307104   9964 292436    0    0     0    12 10817 1458657 33 13 55  0  0
20  0      0 129306248   9964 292432    0    0     0     0 11320 1453838 33 13 55  0  0
17  0      0 129306384   9964 292432    0    0     0     0 11086 1457610 33 12 55  0  0
17  0      0 129306656   9964 292400    0    0     0    16 11594 1438305 33 12 55  0  0
16  0      0 129307184   9964 292392    0    0     0     0 11416 1462091 33 12 55  0  0
20  0      0 129306688   9972 292404    0    0     0    24 11484 1485506 32 13 54  0  0
20  0      0 129306776   9972 292408    0    0     0     0 17363 1477089 33 12 55  0  0
20  0      0 129306320   9972 292400    0    0     0     0 11332 1432750 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 129306992   9972 292404    0    0     0    12 29344 1445966 33 12 55  0  0
20  0      0 129307264   9972 292388    0    0     0     0 11296 1454531 33 12 55  0  0
18  0      0 129306928   9980 292364    0    0     0    24 10502 1458134 33 13 54  0  0
17  0      0 129307200   9980 292372    0    0     0     0 11748 1462936 32 13 55  0  0
18  0      0 129306160   9980 292384    0    0     0     0 10951 1464711 32 13 54  0  0
22  0      0 129306208   9980 292348    0    0     0     0 10009 1477300 33 13 54  0  0
19  0      0 129306824   9980 292348    0    0     0    16 10739 1479701 33 12 54  0  0
18  0      0 129307344   9988 292352    0    0     0    24 11385 1467381 32 13 54  0  0
17  0      0 129306864   9988 292352    0    0     0     0 10985 1469894 33 13 55  0  0
18  0      0 129305976   9988 292376    0    0     0     0 11006 1463423 32 13 54  0  0
19  0      0 129306960   9988 292276    0    0     0     0 11464 1465960 33 12 54  0  0
18  0      0 129307472   9988 292276    0    0     0    20 10862 1490182 33 13 54  0  0
19  0      0 129306984   9996 292288    0    0     0    12 11082 1481438 32 13 54  0  0
19  0      0 129305968   9996 292328    0    0     0     0 11092 1442773 33 12 55  0  0
19  0      0 129306608   9996 292328    0    0     0     0 10818 1466816 33 13 55  0  0
18  0      0 129306912   9996 292296    0    0     0     0 10129 1474066 32 13 55  0  0
18  0      0 129306392   9996 292324    0    0     0     0 10830 1483894 33 13 54  0  0
19  0      0 129306336  10004 292292    0    0     0    40 10626 1453404 33 12 54  0  0
21  0      0 129306064  10004 292332    0    0     0     0 11248 1469241 32 13 55  0  0
19  0      0 129306512  10004 292364    0    0     0     0 10684 1473473 32 13 55  0  0
20  0      0 129306480  10004 292412    0    0     0     0 11113 1474827 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129306720  10004 292436    0    0     0     0 11972 1469802 33 12 55  0  0
19  0      0 129306312  10012 292472    0    0     0    24 11785 1468661 32 13 55  0  0
19  0      0 129305680  10012 292484    0    0     0     0 11015 1445086 33 13 54  0  0
18  0      0 129306272  10012 292524    0    0     0     0 10574 1480682 32 13 55  0  0
20  0      0 129306312  10012 292492    0    0     0     0 10662 1482965 32 13 55  0  0
21  0      0 129306064  10012 292516    0    0     0     0 27102 1460781 33 13 55  0  0
18  0      0 129305600  10020 292604    0    0     0    24 11530 1455497 33 13 54  0  0
21  0      0 129306048  10024 292656    0    0     0    28 11488 1453914 33 12 55  0  0
18  0      0 129306144  10024 292688    0    0     0     0 10746 1485720 32 13 55  0  0
18  0      0 129306264  10024 292680    0    0     0     0 10983 1469741 32 13 54  0  0
19  0      0 129306672  10024 292672    0    0     0     0 11769 1457562 33 13 55  0  0
16  0      0 129306384  10032 292720    0    0     0    32 11114 1471443 32 13 54  0  0
17  0      0 129305920  10032 292692    0    0     0    32 10535 1470149 33 13 55  0  0
19  0      0 129306256  10032 292724    0    0     0     0 10181 1473908 33 12 55  0  0
19  0      0 129306984  10032 292752    0    0     0     0 11521 1457209 32 13 55  0  0
16  0      0 129307008  10032 292728    0    0     0     0 11292 1460528 33 13 55  0  0
18  0      0 129306976  10040 292720    0    0     0    24 10534 1469080 32 13 54  0  0
19  0      0 129307312  10040 292672    0    0     0     0 11469 1471669 33 13 54  0  0
17  0      0 129307840  10040 292672    0    0     0    16 11856 1460562 33 13 55  0  0
18  0      0 129307312  10040 292668    0    0     0     0 10570 1485770 33 13 55  0  0
19  0      0 129307400  10040 292596    0    0     0     0 11744 1463357 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 129306784  10048 292588    0    0     0    24 12077 1432397 32 13 55  0  0
20  0      0 129306016  10048 292616    0    0     0     0 10704 1481700 33 12 55  0  0
20  0      0 129305912  10048 292584    0    0     0    12 11345 1476452 33 13 55  0  0
20  0      0 129304880  10048 292520    0    0     0     0 11721 1471900 33 13 55  0  0
19  0      0 129304616  10048 292536    0    0     0     0 11702 1460780 33 12 55  0  0
18  0      0 129304760  10052 292520    0    0     0    24 11103 1472932 33 13 54  0  0
17  0      0 129304360  10052 292516    0    0     0     0 11275 1476993 33 13 54  0  0
18  0      0 129304992  10052 292516    0    0     0    24 11705 1461859 33 13 55  0  0
21  0      0 129305008  10052 292508    0    0     0     0 11079 1455056 33 13 55  0  0
18  0      0 129305456  10052 292552    0    0     0     0 10746 1483587 32 13 54  0  0
19  0      0 129305504  10060 292536    0    0     0    12 10305 1451433 33 12 55  0  0
16  0      0 129305896  10060 292520    0    0     0     0 10720 1460512 32 13 55  0  0
17  0      0 129306168  10060 292496    0    0     0     0 10869 1478087 33 13 55  0  0
16  0      0 129306176  10060 292472    0    0     0    16 11708 1459386 33 13 55  0  0
21  0      0 129306496  10060 292424    0    0     0     0 12161 1452782 33 13 54  0  0
17  0      0 129306752  10068 292440    0    0     0    24 11568 1438499 33 12 55  0  0
18  0      0 129306240  10068 292492    0    0     0     0 11637 1419697 33 13 55  0  0
16  0      0 129306784  10068 292668    0    0     0     0 11216 1482736 32 13 55  0  0
17  0      0 129306528  10068 292684    0    0     0     0 11271 1481426 33 12 55  0  0
19  0      0 129306096  10068 292740    0    0     0    12 10275 1496758 33 13 55  0  0
20  0      0 129306360  10076 292748    0    0     0    24 10419 1452424 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129306480  10076 292756    0    0     0     0 9461 1463434 33 13 55  0  0
18  0      0 129306536  10076 292740    0    0     0     0 10005 1455805 33 12 55  0  0
18  0      0 129306648  10076 292764    0    0     0     0 9728 1466092 33 12 55  0  0
21  0      0 129307328  10076 292740    0    0     0    20 39933 1430641 33 13 54  0  0
18  0      0 129307648  10084 292804    0    0     0    36 50808 1422107 33 13 54  0  0
18  0      0 129307144  10084 292820    0    0     0     0 49456 1441023 33 13 55  0  0
20  0      0 129307632  10084 292848    0    0     0     0 33541 1447842 33 12 55  0  0
18  0      0 129308464  10084 292900    0    0     0     0 10473 1458900 33 13 55  0  0
17  0      0 129308112  10084 292916    0    0     0     0 10108 1452541 33 12 55  0  0
17  0      0 129307904  10092 292884    0    0     0    44 10273 1461575 33 13 54  0  0
18  0      0 129308304  10092 292924    0    0     0     0 10421 1434786 33 13 55  0  0
19  0      0 129309040  10092 292924    0    0     0     0 10895 1438888 33 13 55  0  0
20  0      0 129308704  10092 292900    0    0     0     0 10386 1450926 33 12 55  0  0
20  0      0 129308664  10092 292948    0    0     0     0 9658 1450025 33 13 54  0  0
19  0      0 129309584  10100 292916    0    0     0    28 10070 1446941 33 13 54  0  0
18  0      0 129309336  10100 292924    0    0     0     0 10764 1494599 33 12 55  0  0
22  0      0 129308976  10100 292900    0    0     0     0 10673 1469998 33 13 55  0  0
17  0      0 129309136  10100 292868    0    0     0     0 11762 1456909 33 13 55  0  0
18  0      0 129308528  10100 292864    0    0     0     0 11395 1461375 32 13 55  0  0
19  0      0 129308992  10108 292816    0    0     0    24 11166 1465137 32 13 54  0  0
18  0      0 129308288  10108 292752    0    0     0    12 11011 1485949 33 13 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129308400  10108 292776    0    0     0     0 10790 1491518 33 12 55  0  0
19  0      0 129309016  10108 292776    0    0     0     0 10920 1474134 32 13 55  0  0
17  0      0 129309192  10108 292720    0    0     0     0 11048 1468150 32 13 55  0  0
17  0      0 129307920  10116 292680    0    0     0    24 10789 1473326 33 13 54  0  0
