procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129500920   9140 287552    0    0     0     0 12737 1440761 33 12 54  0  0
17  0      0 129501352   9140 287712    0    0     0     0 12340 1426051 33 12 55  0  0
21  0      0 129501720   9140 287608    0    0     0     0 11975 1444410 33 13 55  0  0
21  0      0 129502632   9148 287684    0    0     0    32 18790 1432622 33 13 55  0  0
18  0      0 129503024   9148 287676    0    0     0     0 12141 1444610 33 12 55  0  0
18  0      0 129502344   9148 287700    0    0     0     0 12153 1432432 33 12 55  0  0
18  0      0 129502584   9444 287584    0    0   348     0 11965 1420538 33 12 55  0  0
18  0      0 129501408   9444 287820    0    0     0     0 20599 1427237 33 13 55  0  0
17  0      0 129501200   9452 287792    0    0     0    28 38745 1418800 33 12 55  0  0
21  0      0 129501056   9452 287836    0    0     0    28 45864 1437607 33 13 55  0  0
19  0      0 129500720   9456 288012    0    0    68     0 33528 1427929 33 13 55  0  0
17  0      0 129500376   9592 287968    0    0   140     0 12633 1451183 33 13 54  0  0
20  0      0 129500376   9592 288004    0    0     4     0 11742 1423194 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129500640   9600 287992    0    0     0    24 11972 1405716 33 12 55  0  0
16  0      0 129500232   9604 288052    0    0     4    24 12103 1392903 33 13 55  0  0
18  0      0 129499968   9604 288096    0    0     0     0 11256 1434449 33 12 55  0  0
19  0      0 129499840   9604 288100    0    0     0     0 21037 1409764 33 12 55  0  0
21  0      0 129498944   9604 288148    0    0     0     0 11540 1408799 33 12 55  0  0
18  0      0 129497952   9872 288300    0    0   420    20 12205 1398123 33 13 54  1  0
18  0      0 129497968   9872 288300    0    0     0     0 11241 1429093 33 12 55  0  0
20  0      0 129497288  10136 288360    0    0   280    24 11300 1413166 33 13 54  0  0
20  0      0 129497264  10136 288384    0    0     0     0 16839 1410788 33 12 55  0  0
18  0      0 129497936  10136 288356    0    0     0     0 11640 1421581 33 13 55  0  0
20  0      0 129497920  10148 288388    0    0     0    68 14304 1410152 32 13 54  0  0
17  0      0 129498664  10148 288392    0    0     0     0 12643 1401371 33 12 55  0  0
18  0      0 129498704  10148 288452    0    0     0    56 11852 1404869 33 12 55  0  0
16  0      0 129498776  10148 288388    0    0     0     0 15919 1410513 33 12 55  0  0
