procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129555232  23808 297216    0    0     0   792 3463 10528  0  0 97  3  0
 1  1      0 129554320  23984 297836    0    0     0   888 3594 9662  0  0 96  3  0
 0  1      0 129553032  24176 297812    0    0     0   828 3689 10472  0  0 97  3  0
 0  1      0 129553152  24360 297924    0    0     0   840 3600 10442  0  0 96  3  0
 0  2      0 129552984  24552 297900    0    0     0   784 3471 9577  0  0 97  3  0
 1  1      0 129551744  24720 298116    0    0     0   776 3484 9615  0  0 97  3  0
 0  1      0 129551160  24896 298264    0    0     0   816 3677 10170  0  0 97  3  0
 0  1      0 129550512  25088 298328    0    0     0   828 3488 10315  0  0 97  3  0
 0  1      0 129550128  25312 298276    0    0     0   776 3449 10906  0  0 97  3  0
 0  1      0 129549456  25536 298760    0    0     0   748 3815 11813  0  0 97  3  0
 0  2      0 129549392  25744 298960    0    0     0   676 3605 11533  0  0 97  3  0
 0  1      0 129549048  25976 298864    0    0     0  1736 3737 12183  0  0 97  3  0
 1  1      0 129548656  26208 298824    0    0     0   756 3748 11935  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129546432  26448 299328    0    0     0   732 3811 11683  0  0 97  3  0
 0  1      0 129546760  26640 299552    0    0     0   640 3575 11357  0  0 97  3  0
 0  1      0 129546864  26872 299600    0    0     0   756 3770 12408  0  0 97  3  0
 0  2      0 129546136  27112 299948    0    0     0   760 3753 11796  0  0 96  3  0
 1  1      0 129546032  27328 300056    0    0     0   756 3679 12105  0  0 97  3  0
 0  1      0 129545904  27528 300080    0    0     0   664 3601 10953  0  0 97  3  0
 0  1      0 129545104  27760 300280    0    0     0   772 3848 12305  0  0 97  3  0
 0  1      0 129544896  27992 300444    0    0     0   716 3625 12107  0  0 97  3  0
 0  1      0 129543584  28224 300580    0    0     0   824 3787 12423  0  0 96  3  0
 0  1      0 129543488  28448 300860    0    0     0   724 3813 12244  1  0 96  3  0
 0  1      0 129543176  28680 300748    0    0     0   776 3830 11351  0  0 97  3  0
 0  2      0 129542632  28904 300708    0    0     0   720 3522 11210  0  0 97  3  0
 0  1      0 129542048  29144 301316    0    0     0   732 3704 11865  0  0 96  3  0
 0  1      0 129541760  29376 301304    0    0     0   684 3887 11324  0  0 97  3  0
 1  1      0 129541488  29592 301244    0    0     0   716 3924 11494  0  0 97  3  0
 0  1      0 129541456  29832 301844    0    0     0   772 3874 12354  0  0 96  3  0
 1  1      0 129540960  30056 302024    0    0     0   776 3930 12306  0  0 97  3  0
 0  2      0 129540496  30272 302144    0    0     0   704 3675 11733  0  0 97  3  0
 1  0      0 129540640  30488 302228    0    0     0   708 3756 12292  0  0 96  3  0
 0  1      0 129539736  30728 302344    0    0     0   812 3725 12492  0  0 96  3  0
 0  1      0 129539392  30944 302500    0    0     0   768 3850 11790  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129539872  31168 302676    0    0     0   772 3794 12407  0  0 97  3  0
 0  1      0 129540464  31400 302896    0    0     0   720 3739 12237  0  0 97  3  0
 2  0      0 129540336  31632 302964    0    0     0   728 3621 11537  0  0 97  3  0
 0  1      0 129539760  31864 303316    0    0     0   744 3863 12417  0  0 96  3  0
 0  1      0 129539640  32072 303388    0    0     0   696 3563 10984  0  0 97  3  0
 0  1      0 129539896  32312 303380    0    0     0   688 3720 12192  0  0 97  3  0
 0  1      0 129537992  32528 303608    0    0     0   720 3734 11772  0  0 97  3  0
12  1      0 129537680  32752 303584    0    0     0   732 3697 11784  0  0 97  3  0
 0  1      0 129537456  32960 303780    0    0     0   612 3471 11262  0  0 97  3  0
 0  1      0 129536616  33176 303852    0    0     0   680 3679 11490  0  0 97  3  0
 0  1      0 129535856  33416 303972    0    0     0   732 3836 12398  0  0 96  3  0
 0  1      0 129535832  33656 304044    0    0     0   716 3709 11628  0  0 97  3  0
 0  1      0 129535584  33832 303876    0    0     0   576 3488 10544  0  0 96  3  0
 0  1      0 129534264  34056 304368    0    0     0   708 3837 11602  0  0 96  3  0
 0  1      0 129533776  34296 304420    0    0     0   736 3658 12200  0  0 96  3  0
 0  2      0 129533600  34528 304504    0    0     0   768 3755 11725  0  0 96  3  0
 1  2      0 129532592  34720 304592    0    0     0   600 3448 10671  0  0 97  3  0
 0  1      0 129532504  34944 304688    0    0     0   696 3819 12187  0  0 96  3  0
 0  1      0 129532504  35176 304524    0    0     0   736 3833 11531  0  0 97  3  0
 0  1      0 129532232  35408 304292    0    0     0   712 3727 11710  0  0 96  3  0
 0  1      0 129531080  35608 305264    0    0     0   636 3700 11448  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129531064  35840 305252    0    0     0   672 3653 11482  0  0 97  3  0
 0  1      0 129531184  36072 305116    0    0     0   704 3563 11512  0  0 96  3  0
 1  1      0 129529808  36312 305764    0    0     0   788 3833 12566  0  0 96  3  0
 0  1      0 129529568  36512 305588    0    0     0   624 3641 10544  0  0 96  3  0
 0  1      0 129529312  36728 305416    0    0     0   712 3730 11919  0  0 96  3  0
 0  1      0 129529296  36968 305176    0    0     0   744 3607 11252  0  0 97  3  0
 0  1      0 129527728  37208 304940    0    0     0   732 3874 12035  0  0 96  3  0
 0  1      0 129527712  37408 304740    0    0     0   604 3476 10414  0  0 97  3  0
 0  2      0 129526592  37632 306704    0    0     0   748 3699 11461  0  0 97  3  0
 0  1      0 129526192  37864 306768    0    0     0   736 3706 11955  0  0 97  3  0
 0  1      0 129526032  38104 306632    0    0     0   788 3794 12012  0  0 97  3  0
 0  1      0 129525920  38312 306520    0    0     0   628 3499 10628  0  0 97  3  0
 0  1      0 129526144  38536 306336    0    0     0   692 3613 11220  0  0 97  3  0
 0  1      0 129525360  38776 306096    0    0     0   776 3687 11874  0  0 97  3  0
 0  1      0 129524144  39008 307424    0    0     0   696 3672 11338  0  0 97  3  0
 0  1      0 129523960  39232 307608    0    0     0   716 3639 11264  0  0 97  3  0
 0  1      0 129523640  39440 307856    0    0     0   676 3825 11316  0  0 97  3  0
 0  1      0 129524000  39680 307764    0    0     0   748 3723 12005  0  0 96  3  0
 1  1      0 129523872  39920 307608    0    0     0   808 3813 11918  1  0 96  3  0
 0  1      0 129523136  40136 307412    0    0     0   640 3565 10722  0  0 97  3  0
 0  1      0 129522344  40352 308548    0    0     0   728 3794 11411  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129521616  40592 308676    0    0     0   708 3679 11826  0  0 97  3  0
 0  1      0 129521408  40824 308552    0    0     0   724 4483 11308  0  0 97  3  0
 0  1      0 129520256  41032 308492    0    0     0   776 4176 12086  0  0 96  3  0
 0  1      0 129520192  41256 309204    0    0     0   768 3767 11314  0  0 97  3  0
 0  1      0 129519648  41488 309200    0    0     0   744 3731 12063  0  0 96  3  0
 0  1      0 129519712  41720 309300    0    0     0   752 3796 11683  0  0 97  3  0
 0  1      0 129519216  41952 309304    0    0     0   756 3825 12193  0  0 97  3  0
 0  1      0 129518960  42176 309176    0    0     0   724 3685 11535  0  0 97  3  0
 0  1      0 129517256  42408 310096    0    0     0   748 3858 12372  0  0 96  3  0
 0  1      0 129516272  42632 310176    0    0     0   724 4074 12336  1  0 96  3  0
 0  1      0 129515664  42856 309972    0    0     0   800 3867 12747  0  0 97  3  0
 0  1      0 129516320  43072 310464    0    0     0   680 3676 11570  0  0 97  3  0
 1  1      0 129516256  43304 310632    0    0     0   728 3669 11601  0  0 97  3  0
 0  2      0 129515840  43520 310656    0    0     0   716 3779 11500  0  0 96  3  0
 4  1      0 129515104  43744 310848    0    0     0   772 3927 12437  0  0 96  3  0
 0  1      0 129514608  43968 311200    0    0     0   712 3758 12124  0  0 96  3  0
 0  1      0 129514144  44200 311132    0    0     0   744 3751 11633  0  0 97  3  0
 0  1      0 129514264  44416 310940    0    0     0   664 3685 11426  0  0 96  3  0
 0  1      0 129514264  44656 310896    0    0     0   784 3686 12161  0  0 97  3  0
 2  1      0 129513192  44872 310700    0    0     0   716 3649 11284  0  0 97  3  0
 0  1      0 129512672  45104 310516    0    0     0   724 3813 12020  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129511632  45328 310292    0    0     0   696 3649 11267  0  0 96  3  0
 0  1      0 129511632  45560 310784    0    0     0   736 3627 11380  0  0 96  3  0
 0  1      0 129510336  45776 310568    0    0     0   664 3798 11362  1  0 96  3  0
 0  2      0 129510288  46212 310856    0    0   352   612 3539 10623  0  0 96  3  0
 0  2      0 129509776  46552 311240    0    0   160   672 3756 10806  0  0 96  3  0
 1  1      0 129508016  46784 313004    0    0     0   772 3900 12536  1  0 96  3  0
 0  2      0 129506776  47008 313036    0    0     0   700 3768 11539  0  0 97  3  0
 0  1      0 129505712  47232 313012    0    0     0   680 3633 12220  0  0 97  3  0
 0  2      0 129504816  47456 312792    0    0     0   740 3782 11718  0  0 96  3  0
 0  1      0 129504272  47688 313392    0    0     0   712 3796 12281  0  0 97  3  0
 0  2      0 129504288  47904 313568    0    0     0   740 3721 11717  0  0 97  3  0
 0  1      0 129503600  48136 313584    0    0     0   728 3644 12137  0  0 97  3  0
 0  1      0 129503424  48344 313628    0    0     0   716 3705 11461  0  0 96  3  0
 0  2      0 129504016  48584 313412    0    0     0   776 3761 11747  0  0 96  3  0
 0  1      0 129503744  48800 313292    0    0     0   628 3660 11409  0  0 97  3  0
 0  1      0 129502672  49032 313948    0    0     0   772 3735 12354  1  0 96  3  0
 0  1      0 129503200  49256 313984    0    0     0   676 3810 11679  0  0 96  3  0
 0  1      0 129503808  49496 313920    0    0     4   732 3787 11801  1  0 96  3  0
 0  1      0 129504288  49712 314212    0    0     0   728 3761 11648  0  0 97  3  0
 0  1      0 129503744  49952 314416    0    0     0   860 4055 13950  0  0 97  3  0
 8  1      0 129503520  50176 314504    0    0     0   720 3767 12306  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129503224  50416 314640    0    0     0   748 3666 11817  0  0 97  3  0
 0  2      0 129503120  50624 314748    0    0     0   716 3649 11418  0  0 97  3  0
 0  1      0 129503392  50840 314824    0    0     0   712 3733 12130  0  0 96  3  0
 0  1      0 129503152  51064 314900    0    0     0   660 3701 11338  0  0 96  3  0
 0  1      0 129502504  51304 314836    0    0     0   780 3770 12438  0  0 96  3  0
 0  1      0 129502064  51504 315324    0    0     0   636 3899 11668  0  0 96  3  0
 0  1      0 129501424  51728 315444    0    0     0   660 3631 11489  0  0 96  3  0
 0  1      0 129502208  51968 315424    0    0     0   744 3700 11559  0  0 97  3  0
 0  1      0 129502576  52184 315676    0    0     0   704 3768 11735  0  0 96  3  0
 2  1      0 129501832  52392 315900    0    0     0   688 3768 11622  0  0 97  3  0
 0  1      0 129502032  52616 315972    0    0     0   732 3761 12171  1  0 96  3  0
 0  1      0 129500960  52832 316256    0    0     0   756 3747 12389  0  0 96  3  0
 0  1      0 129500992  53052 316204    0    0     0   732 3872 11771  0  0 96  3  0
 0  1      0 129500608  53276 316472    0    0     0   700 3679 12151  0  0 97  3  0
 0  1      0 129500224  53484 316300    0    0     0   668 3655 10909  0  0 97  3  0
 2  1      0 129500344  53700 316232    0    0     0   700 3614 11409  0  0 97  3  0
 0  1      0 129499712  53924 316056    0    0     0   688 3864 12415  0  0 96  3  0
 0  1      0 129498824  54132 315856    0    0     0   680 3627 10897  0  0 97  3  0
 0  1      0 129499456  54340 316356    0    0     0   652 3592 11317  0  0 97  3  0
 1  1      0 129498752  54580 316924    0    0     0   736 3886 12433  0  0 97  3  0
 0  1      0 129498856  54812 317316    0    0     0   764 3749 11793  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129498392  54988 317392    0    0     0   664 3606 11232  0  0 97  3  0
 0  1      0 129497248  55204 317504    0    0     0   772 3805 12481  0  0 96  3  0
 0  1      0 129497144  55420 317748    0    0     0   736 3875 12488  0  0 96  3  0
 0  1      0 129496624  55652 317896    0    0     0   780 3792 12450  0  0 96  3  0
 0  1      0 129496656  55836 317840    0    0     0   632 3616 11580  0  0 97  3  0
 0  2      0 129495208  56068 318068    0    0     0   736 3854 11874  0  0 97  3  0
 0  1      0 129494728  56300 317872    0    0     0   720 3712 12172  0  0 97  3  0
 0  1      0 129493216  56532 318392    0    0     0   716 3758 11738  0  0 97  3  0
 1  1      0 129492680  56732 318500    0    0     0   612 3598 10906  0  0 97  3  0
 0  1      0 129492000  56964 318636    0    0     0   704 3729 12143  0  0 96  3  0
 0  2      0 129491280  57196 318972    0    0     0   756 3688 11743  0  0 97  3  0
 0  1      0 129491456  57420 318956    0    0     0   796 3861 12437  0  0 96  3  0
 0  2      0 129490568  57620 319136    0    0     0   668 3641 10758  0  0 96  3  0
 0  1      0 129490392  57852 318904    0    0     0   732 3715 12100  0  0 97  3  0
 0  1      0 129489808  58084 319456    0    0     0   752 3717 12468  0  0 97  3  0
 0  1      0 129489160  58316 319608    0    0     0   744 4063 12602  0  0 96  3  0
 0  1      0 129488880  58500 319572    0    0     0   568 3605 10582  0  0 97  3  0
 0  1      0 129488888  58724 319592    0    0     0   800 4275 12410  0  0 97  3  0
 1  1      0 129488360  58956 319496    0    0     0   744 4214 11609  0  0 97  3  0
 0  1      0 129487968  59196 320332    0    0     0   760 4589 12451  0  0 96  3  0
 0  1      0 129487488  59404 320488    0    0     0   684 3882 11443  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129487664  59612 320552    0    0     0   676 3829 10870  0  0 97  3  0
 0  2      0 129487008  59836 320428    0    0     0   692 3798 11589  0  0 96  3  0
 0  1      0 129485656  60068 320860    0    0     0   732 3862 12414  0  0 96  3  0
 0  1      0 129485672  60292 320968    0    0     0   772 3823 12349  0  0 97  3  0
 0  1      0 129485584  60500 321144    0    0     0   732 4183 11602  0  0 97  3  0
 0  1      0 129484792  60724 321184    0    0     0   660 4177 11567  0  0 96  3  0
 0  1      0 129484384  60956 321092    0    0     0   748 3860 12101  0  0 97  3  0
 0  1      0 129483104  61172 321584    0    0     0   764 3731 11521  0  0 97  3  0
 0  1      0 129482784  61380 321788    0    0     0   656 3817 11392  0  0 96  3  0
 0  1      0 129482592  61612 321784    0    0     0   736 3635 12251  0  0 97  3  0
 0  1      0 129482136  61844 321968    0    0     0   788 3940 11676  0  0 96  3  0
 1  2      0 129481232  62068 322420    0    0     0   716 3760 11736  0  0 96  3  0
 0  1      0 129481696  62268 322600    0    0     0   692 3989 12149  0  0 96  3  0
 0  1      0 129481040  62484 322680    0    0     0   772 3787 12512  0  0 97  3  0
 0  1      0 129481472  62708 323044    0    0     0   832 3907 13251  0  0 96  3  0
 0  1      0 129481856  62932 323176    0    0     0   736 3877 12367  0  0 96  3  0
 0  1      0 129481680  63148 323308    0    0     0   668 3914 11007  0  0 96  3  0
 0  1      0 129481776  63364 323244    0    0     0   664 3720 11509  0  0 96  3  0
 0  1      0 129481424  63604 323820    0    0     0   812 3964 12547  0  0 96  3  0
 2  1      0 129481168  63836 323836    0    0     0   776 3739 12288  0  0 97  3  0
 0  1      0 129481408  64052 323976    0    0     0   668 4339 11364  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129480384  64268 324188    0    0     0   716 4006 11536  0  0 96  3  0
 0  1      0 129478976  64500 324280    0    0     0   768 4468 12523  0  0 96  3  0
 0  2      0 129479856  64732 324260    0    0     0   764 4264 11693  0  0 97  3  0
 0  1      0 129479440  64956 324176    0    0     0   696 3989 11516  0  0 97  3  0
 0  2      0 129479160  65180 323952    0    0     0   696 3934 11599  0  0 97  3  0
 0  1      0 129476912  65396 325212    0    0     0   688 3901 11667  0  0 96  3  0
 0  1      0 129476832  65628 325176    0    0     0   732 3882 12211  0  0 97  3  0
 0  2      0 129476816  65852 324936    0    0     0   696 3739 11700  0  0 96  3  0
 0  2      0 129476272  66076 325536    0    0     0   696 3838 11623  0  0 96  3  0
 0  2      0 129475744  66300 325672    0    0     0   676 3773 11646  0  0 97  3  0
 0  1      0 129475624  66532 325672    0    0     0   700 3850 12336  0  0 97  3  0
 0  1      0 129475392  66748 325956    0    0     0   740 4105 11707  1  0 96  3  0
 0  1      0 129475024  66980 326020    0    0     0   724 3909 12244  0  0 96  3  0
 0  1      0 129474744  67196 326312    0    0     0   700 3868 11098  0  0 96  3  0
 0  1      0 129474232  67436 326484    0    0     0   748 3822 12241  0  0 97  3  0
 0  1      0 129473760  67660 326552    0    0     0   724 3889 12359  0  0 97  3  0
 0  1      0 129474352  67892 326740    0    0     0   756 3730 11795  0  0 96  3  0
 0  1      0 129474840  68108 326736    0    0     0   644 3877 11475  0  0 97  3  0
 1  1      0 129473424  68332 326896    0    0     0   720 4095 12368  0  0 96  3  0
 0  1      0 129473216  68556 326964    0    0     0   672 4099 11599  0  0 97  3  0
 0  2      0 129473024  68772 327060    0    0     0   760 3653 11726  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 129472560  68980 327192    0    0     0   688 3916 12247  0  0 96  3  0
 0  1      0 129472976  69180 327348    0    0     0   728 3818 11874  0  0 97  3  0
 0  1      0 129472472  69376 327468    0    0     0   768 3811 12450  0  0 96  3  0
 0  1      0 129472912  69512 327524    0    0     0   744 3758 11795  0  0 96  3  0
 0  1      0 129470696  69632 327584    0    0     0   696 3858 12348  0  0 96  3  0
 0  1      0 129471504  69752 328140    0    0     0   748 4602 11869  0  0 97  3  0
 0  1      0 129471288  69888 328164    0    0     0   724 5905 12145  0  0 96  3  0
 0  1      0 129470624  70012 328368    0    0     0   828 4401 12713  0  0 96  3  0
 0  1      0 129469328  70156 328528    0    0     0   684 4030 12282  0  0 97  3  0
 0  2      0 129468080  70296 328800    0    0     0   652 3614 10887  0  0 97  3  0
 0  1      0 129467928  70408 328852    0    0     0   680 3798 11482  0  0 96  3  0
 0  2      0 129468128  70524 329120    0    0     0   820 3893 12353  0  0 96  3  0
 0  1      0 129467296  70632 329340    0    0     0   676 3841 11158  0  0 96  3  0
 0  1      0 129467040  70736 329436    0    0     0   720 3709 11419  1  0 96  3  0
 1  1      0 129466688  70876 329612    0    0     0   776 3886 12115  0  0 96  3  0
 0  1      0 129466640  71028 329728    0    0     0   800 3754 12589  0  0 97  3  0
 0  1      0 129466032  71160 329896    0    0     0   692 3745 11586  0  0 97  3  0
